id,teamUid,teamName,teamShortName
1,s:20~l:28~t:1,Falcons,ATL
2,s:20~l:28~t:2,Bills,BUF
3,s:20~l:28~t:3,Bears,CHI
4,s:20~l:28~t:4,Bengals,CIN
5,s:20~l:28~t:5,Browns,CLE
6,s:20~l:28~t:6,Cowboys,DAL
7,s:20~l:28~t:7,Broncos,DEN
8,s:20~l:28~t:8,Lions,DET
9,s:20~l:28~t:9,Packers,GB
10,s:20~l:28~t:10,Titans,TEN
11,s:20~l:28~t:11,Colts,IND
12,s:20~l:28~t:12,Chiefs,KC
13,s:20~l:28~t:13,Raiders,LV
14,s:20~l:28~t:14,Rams,LAR
15,s:20~l:28~t:15,Dolphins,MIA
16,s:20~l:28~t:16,Vikings,MIN
17,s:20~l:28~t:17,Patriots,NE
18,s:20~l:28~t:18,Saints,NO
19,s:20~l:28~t:19,Giants,NYG
20,s:20~l:28~t:20,Jets,NYJ
21,s:20~l:28~t:21,Eagles,PHI
22,s:20~l:28~t:22,Cardinals,ARI
23,s:20~l:28~t:23,Steelers,PIT
24,s:20~l:28~t:24,Chargers,LAC
25,s:20~l:28~t:25,49ers,SF
26,s:20~l:28~t:26,Seahawks,SEA
27,s:20~l:28~t:27,Buccaneers,TB
28,s:20~l:28~t:28,Commanders,WSH
29,s:20~l:28~t:29,Panthers,CAR
30,s:20~l:28~t:30,Jaguars,JAX
33,s:20~l:28~t:33,Ravens,BAL
34,s:20~l:28~t:34,Texans,HOU
